,,,,,,,,,,,,
#,x,h,,,07:00:00,18/05/19,1558162800,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
143,,,,,,,,,,,,
354,,,,,,,,,,,,
260,,,,,,,,,,,,
150,,,,,,,,,,,,
72,,,,,,,,,,,,
94,,,,,,,,,,,,
58,,,,,,,,,,,,
99,,,,,,,,,,,,
54,,,,,,,,,,,,
51,,,,,,,,,,,,
#,t,1,12994,,,,,,,,,
#,c,40301930,,,,,,,,,,
51,,,,,,,,,,,,
51,,,,,,,,,,,,
109,,,,,,,,,,,,
91,,,,,,,,,,,,
73,,,,,,,,,,,,
52,,,,,,,,,,,,
51,,,,,,,,,,,,
72,,,,,,,,,,,,
49,,,,,,,,,,,,
51,,,,,,,,,,,,
53,,,,,,,,,,,,
50,,,,,,,,,,,,
#,t,1,72462,,,,,,,,,
#,c,40301931,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
938,,,,,,,,,,,,
328,,,,,,,,,,,,
128,,,,,,,,,,,,
118,,,,,,,,,,,,
87,,,,,,,,,,,,
65,,,,,,,,,,,,
62,,,,,,,,,,,,
49,,,,,,,,,,,,
71,,,,,,,,,,,,
50,,,,,,,,,,,,
#,t,1,183498,,,,,,,,,
#,c,40301932,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
174,,,,,,,,,,,,
101,,,,,,,,,,,,
50,,,,,,,,,,,,
61,,,,,,,,,,,,
91,,,,,,,,,,,,
50,,,,,,,,,,,,
49,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
49,,,,,,,,,,,,
#,t,1,251570,,,,,,,,,
#,c,40301933,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
631,,,,,,,,,,,,
251,,,,,,,,,,,,
139,,,,,,,,,,,,
137,,,,,,,,,,,,
87,,,,,,,,,,,,
62,,,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
46,,,,,,,,,,,,
48,,,,,,,,,,,,
#,t,1,285387,,,,,,,,,
#,c,40301934,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
778,,,,,,,,,,,,
445,,,,,,,,,,,,
199,,,,,,,,,,,,
158,,,,,,,,,,,,
106,,,,,,,,,,,,
110,,,,,,,,,,,,
106,,,,,,,,,,,,
48,,,,,,,,,,,,
48,,,,,,,,,,,,
50,,,,,,,,,,,,
#,t,1,318937,,,,,,,,,
#,c,40301935,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
98,,,,,,,,,,,,
102,,,,,,,,,,,,
131,,,,,,,,,,,,
65,,,,,,,,,,,,
69,,,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
49,,,,,,,,,,,,
51,,,,,,,,,,,,
47,,,,,,,,,,,,
#,t,1,336366,,,,,,,,,
#,c,40301936,,,,,,,,,,
50,,,,,,,,,,,,
49,,,,,,,,,,,,
258,,,,,,,,,,,,
257,,,,,,,,,,,,
120,,,,,,,,,,,,
170,,,,,,,,,,,,
79,,,,,,,,,,,,
71,,,,,,,,,,,,
61,,,,,,,,,,,,
48,,,,,,,,,,,,
50,,,,,,,,,,,,
56,,,,,,,,,,,,
#,t,1,390230,,,,,,,,,
#,c,40301937,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
768,,,,,,,,,,,,
462,,,,,,,,,,,,
162,,,,,,,,,,,,
110,,,,,,,,,,,,
168,,,,,,,,,,,,
79,,,,,,,,,,,,
59,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
#,t,1,408329,,,,,,,,,
#,c,40301938,,,,,,,,,,
49,,,,,,,,,,,,
72,,,,,,,,,,,,
176,,,,,,,,,,,,
85,,,,,,,,,,,,
127,,,,,,,,,,,,
58,,,,,,,,,,,,
55,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
49,,,,,,,,,,,,
70,,,,,,,,,,,,
50,,,,,,,,,,,,
#,t,1,427040,,,,,,,,,
#,c,40301939,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
311,,,,,,,,,,,,
265,,,,,,,,,,,,
151,,,,,,,,,,,,
104,,,,,,,,,,,,
101,,,,,,,,,,,,
72,,,,,,,,,,,,
50,,,,,,,,,,,,
53,,,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
#,t,1,436417,,,,,,,,,
#,c,40301940,,,,,,,,,,
52,,,,,,,,,,,,
50,,,,,,,,,,,,
125,,,,,,,,,,,,
78,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
49,,,,,,,,,,,,
51,,,,,,,,,,,,
#,t,1,489004,,,,,,,,,
#,c,40301941,,,,,,,,,,
50,,,,,,,,,,,,
50,,,,,,,,,,,,
354,,,,,,,,,,,,
203,,,,,,,,,,,,
131,,,,,,,,,,,,
61,,,,,,,,,,,,
120,,,,,,,,,,,,
52,,,,,,,,,,,,
